ORD_TOTALAMOUNTINC,Number_of_cus,Month,Paper_con_value,Consumer_price,Export_price
1040176,3633,0,103.0,104,106
1229733,3918,1,103.0,104,108
1278798,4556,2,105.0,105,109
1621104,5271,3,106.0,106,109
1762098,5415,4,107.0,107,110
1200543,4154,5,108.0,107,110
1318737,4678,6,108.0,107,109
1224674,4128,7,109.0,107,109
1240227,4584,8,110.0,107,111
1047364,3925,9,111.0,108,109
1406896,4264,10,110.0,108,108
1507255,4399,11,111.0,108,109
1501026,4021,12,109.0,108,106
1448401,4044,13,110.0,108,107
1820571,4813,14,111.0,108,107
2060797,5269,15,110.0,107,108
1729365,4735,16,112.0,107,107
1432349,3930,17,114.0,106,108
1928740,4781,18,114.0,107,108
1696423,4554,19,112.0,106,107
1775656,4730,20,112.0,107,109
1757882,4720,21,112.0,107,106
1632750,4410,22,111.0,107,105
1560788,4333,23,111.0,106,106
1411889,3942,24,109.0,106,105
1411889,3942,24,109.0,106,105
